id,identifier,picture,height,weight,type1,type2
1,bulbasaur,001.png,7,69,grass,poison
2,ivysaur,002.png,10,130,grass,poison
3,venusaur,003.png,20,1000,grass,poison
4,charmander,004.png,6,85,fire,
5,charmeleon,005.png,11,190,fire,
6,charizard,006.png,17,905,fire,flying
7,squirtle,007.png,5,90,water,
8,wartortle,008.png,10,225,water,
9,blastoise,009.png,16,855,water,
10,caterpie,010.png,3,29,bug,
11,metapod,011.png,7,99,bug,
12,butterfree,012.png,11,320,bug,flying
13,weedle,013.png,3,32,bug,poison
14,kakuna,014.png,6,100,bug,poison
15,beedrill,015.png,10,295,bug,poison
16,pidgey,016.png,3,18,normal,flying
17,pidgeotto,017.png,11,300,normal,flying
18,pidgeot,018.png,15,395,normal,flying
19,rattata,019.png,3,35,normal,
20,raticate,020.png,7,185,normal,
21,spearow,021.png,3,20,normal,flying
22,fearow,022.png,12,380,normal,flying
23,ekans,023.png,20,69,poison,
24,arbok,024.png,35,650,poison,
25,pikachu,025.png,4,60,electric,
26,raichu,026.png,8,300,electric,
27,sandshrew,027.png,6,120,ground,
28,sandslash,028.png,10,295,ground,
29,nidoran-f,029.png,4,70,poison,
30,nidorina,030.png,8,200,poison,
31,nidoqueen,031.png,13,600,poison,ground
32,nidoran-m,032.png,5,90,poison,
33,nidorino,033.png,9,195,poison,
34,nidoking,034.png,14,620,poison,ground
35,clefairy,035.png,6,75,fairy,
36,clefable,036.png,13,400,fairy,
37,vulpix,037.png,6,99,fire,
38,ninetales,038.png,11,199,fire,
39,jigglypuff,039.png,5,55,normal,fairy
40,wigglytuff,040.png,10,120,normal,fairy
41,zubat,041.png,8,75,poison,flying
42,golbat,042.png,16,550,poison,flying
43,oddish,043.png,5,54,grass,poison
44,gloom,044.png,8,86,grass,poison
45,vileplume,045.png,12,186,grass,poison
46,paras,046.png,3,54,bug,grass
47,parasect,047.png,10,295,bug,grass
48,venonat,048.png,10,300,bug,poison
49,venomoth,049.png,15,125,bug,poison
50,diglett,050.png,2,8,ground,
51,dugtrio,051.png,7,333,ground,
52,meowth,052.png,4,42,normal,
53,persian,053.png,10,320,normal,
54,psyduck,054.png,8,196,water,
55,golduck,055.png,17,766,water,
56,mankey,056.png,5,280,fighting,
57,primeape,057.png,10,320,fighting,
58,growlithe,058.png,7,190,fire,
59,arcanine,059.png,19,1550,fire,
60,poliwag,060.png,6,124,water,
61,poliwhirl,061.png,10,200,water,
62,poliwrath,062.png,13,540,water,fighting
63,abra,063.png,9,195,psychic,
64,kadabra,064.png,13,565,psychic,
65,alakazam,065.png,15,480,psychic,
66,machop,066.png,8,195,fighting,
67,machoke,067.png,15,705,fighting,
68,machamp,068.png,16,1300,fighting,
69,bellsprout,069.png,7,40,grass,poison
70,weepinbell,070.png,10,64,grass,poison
71,victreebel,071.png,17,155,grass,poison
72,tentacool,072.png,9,455,water,poison
73,tentacruel,073.png,16,550,water,poison
74,geodude,074.png,4,200,rock,ground
75,graveler,075.png,10,1050,rock,ground
76,golem,076.png,14,3000,rock,ground
77,ponyta,077.png,10,300,fire,
78,rapidash,078.png,17,950,fire,
79,slowpoke,079.png,12,360,water,psychic
80,slowbro,080.png,16,785,water,psychic
81,magnemite,081.png,3,60,electric,steel
82,magneton,082.png,10,600,electric,steel
83,farfetchd,083.png,8,150,normal,flying
84,doduo,084.png,14,392,normal,flying
85,dodrio,085.png,18,852,normal,flying
86,seel,086.png,11,900,water,
87,dewgong,087.png,17,1200,water,ice
88,grimer,088.png,9,300,poison,
89,muk,089.png,12,300,poison,
90,shellder,090.png,3,40,water,
91,cloyster,091.png,15,1325,water,ice
92,gastly,092.png,13,1,ghost,poison
93,haunter,093.png,16,1,ghost,poison
94,gengar,094.png,15,405,ghost,poison
95,onix,095.png,88,2100,rock,ground
96,drowzee,096.png,10,324,psychic,
97,hypno,097.png,16,756,psychic,
98,krabby,098.png,4,65,water,
99,kingler,099.png,13,600,water,
100,voltorb,100.png,5,104,electric,
101,electrode,101.png,12,666,electric,
102,exeggcute,102.png,4,25,grass,psychic
103,exeggutor,103.png,20,1200,grass,psychic
104,cubone,104.png,4,65,ground,
105,marowak,105.png,10,450,ground,
106,hitmonlee,106.png,15,498,fighting,
107,hitmonchan,107.png,14,502,fighting,
108,lickitung,108.png,12,655,normal,
109,koffing,109.png,6,10,poison,
110,weezing,110.png,12,95,poison,
111,rhyhorn,111.png,10,1150,ground,rock
112,rhydon,112.png,19,1200,ground,rock
113,chansey,113.png,11,346,normal,
114,tangela,114.png,10,350,grass,
115,kangaskhan,115.png,22,800,normal,
116,horsea,116.png,4,80,water,
117,seadra,117.png,12,250,water,
118,goldeen,118.png,6,150,water,
119,seaking,119.png,13,390,water,
120,staryu,120.png,8,345,water,
121,starmie,121.png,11,800,water,psychic
122,mr-mime,122.png,13,545,psychic,fairy
123,scyther,123.png,15,560,bug,flying
124,jynx,124.png,14,406,ice,psychic
125,electabuzz,125.png,11,300,electric,
126,magmar,126.png,13,445,fire,
127,pinsir,127.png,15,550,bug,
128,tauros,128.png,14,884,normal,
129,magikarp,129.png,9,100,water,
130,gyarados,130.png,65,2350,water,flying
131,lapras,131.png,25,2200,water,ice
132,ditto,132.png,3,40,normal,
133,eevee,133.png,3,65,normal,
134,vaporeon,134.png,10,290,water,
135,jolteon,135.png,8,245,electric,
136,flareon,136.png,9,250,fire,
137,porygon,137.png,8,365,normal,
138,omanyte,138.png,4,75,rock,water
139,omastar,139.png,10,350,rock,water
140,kabuto,140.png,5,115,rock,water
141,kabutops,141.png,13,405,rock,water
142,aerodactyl,142.png,18,590,rock,flying
143,snorlax,143.png,21,4600,normal,
144,articuno,144.png,17,554,ice,flying
145,zapdos,145.png,16,526,electric,flying
146,moltres,146.png,20,600,fire,flying
147,dratini,147.png,18,33,dragon,
148,dragonair,148.png,40,165,dragon,
149,dragonite,149.png,22,2100,dragon,flying
150,mewtwo,150.png,20,1220,psychic,
151,mew,151.png,4,40,psychic,
152,chikorita,152.png,9,64,grass,
153,bayleef,153.png,12,158,grass,
154,meganium,154.png,18,1005,grass,
155,cyndaquil,155.png,5,79,fire,
156,quilava,156.png,9,190,fire,
157,typhlosion,157.png,17,795,fire,
158,totodile,158.png,6,95,water,
159,croconaw,159.png,11,250,water,
160,feraligatr,160.png,23,888,water,
161,sentret,161.png,8,60,normal,
162,furret,162.png,18,325,normal,
163,hoothoot,163.png,7,212,normal,flying
164,noctowl,164.png,16,408,normal,flying
165,ledyba,165.png,10,108,bug,flying
166,ledian,166.png,14,356,bug,flying
167,spinarak,167.png,5,85,bug,poison
168,ariados,168.png,11,335,bug,poison
169,crobat,169.png,18,750,poison,flying
170,chinchou,170.png,5,120,water,electric
171,lanturn,171.png,12,225,water,electric
172,pichu,172.png,3,20,electric,
173,cleffa,173.png,3,30,fairy,
174,igglybuff,174.png,3,10,normal,fairy
175,togepi,175.png,3,15,fairy,
176,togetic,176.png,6,32,fairy,flying
177,natu,177.png,2,20,psychic,flying
178,xatu,178.png,15,150,psychic,flying
179,mareep,179.png,6,78,electric,
180,flaaffy,180.png,8,133,electric,
181,ampharos,181.png,14,615,electric,
182,bellossom,182.png,4,58,grass,
183,marill,183.png,4,85,water,fairy
184,azumarill,184.png,8,285,water,fairy
185,sudowoodo,185.png,12,380,rock,
186,politoed,186.png,11,339,water,
187,hoppip,187.png,4,5,grass,flying
188,skiploom,188.png,6,10,grass,flying
189,jumpluff,189.png,8,30,grass,flying
190,aipom,190.png,8,115,normal,
191,sunkern,191.png,3,18,grass,
192,sunflora,192.png,8,85,grass,
193,yanma,193.png,12,380,bug,flying
194,wooper,194.png,4,85,water,ground
195,quagsire,195.png,14,750,water,ground
196,espeon,196.png,9,265,psychic,
197,umbreon,197.png,10,270,dark,
198,murkrow,198.png,5,21,dark,flying
199,slowking,199.png,20,795,water,psychic
200,misdreavus,200.png,7,10,ghost,
201,unown,201.png,5,50,psychic,
202,wobbuffet,202.png,13,285,psychic,
203,girafarig,203.png,15,415,normal,psychic
204,pineco,204.png,6,72,bug,
205,forretress,205.png,12,1258,bug,steel
206,dunsparce,206.png,15,140,normal,
207,gligar,207.png,11,648,ground,flying
208,steelix,208.png,92,4000,steel,ground
209,snubbull,209.png,6,78,fairy,
210,granbull,210.png,14,487,fairy,
211,qwilfish,211.png,5,39,water,poison
212,scizor,212.png,18,1180,bug,steel
213,shuckle,213.png,6,205,bug,rock
214,heracross,214.png,15,540,bug,fighting
215,sneasel,215.png,9,280,dark,ice
216,teddiursa,216.png,6,88,normal,
217,ursaring,217.png,18,1258,normal,
218,slugma,218.png,7,350,fire,
219,magcargo,219.png,8,550,fire,rock
220,swinub,220.png,4,65,ice,ground
221,piloswine,221.png,11,558,ice,ground
222,corsola,222.png,6,50,water,rock
223,remoraid,223.png,6,120,water,
224,octillery,224.png,9,285,water,
225,delibird,225.png,9,160,ice,flying
226,mantine,226.png,21,2200,water,flying
227,skarmory,227.png,17,505,steel,flying
228,houndour,228.png,6,108,dark,fire
229,houndoom,229.png,14,350,dark,fire
230,kingdra,230.png,18,1520,water,dragon
231,phanpy,231.png,5,335,ground,
232,donphan,232.png,11,1200,ground,
233,porygon2,233.png,6,325,normal,
234,stantler,234.png,14,712,normal,
235,smeargle,235.png,12,580,normal,
236,tyrogue,236.png,7,210,fighting,
237,hitmontop,237.png,14,480,fighting,
238,smoochum,238.png,4,60,ice,psychic
239,elekid,239.png,6,235,electric,
240,magby,240.png,7,214,fire,
241,miltank,241.png,12,755,normal,
242,blissey,242.png,15,468,normal,
243,raikou,243.png,19,1780,electric,
244,entei,244.png,21,1980,fire,
245,suicune,245.png,20,1870,water,
246,larvitar,246.png,6,720,rock,ground
247,pupitar,247.png,12,1520,rock,ground
248,tyranitar,248.png,20,2020,rock,dark
249,lugia,249.png,52,2160,psychic,flying
250,ho-oh,250.png,38,1990,fire,flying
251,celebi,251.png,6,50,psychic,grass
252,treecko,252.png,5,50,grass,
253,grovyle,253.png,9,216,grass,
254,sceptile,254.png,17,522,grass,
255,torchic,255.png,4,25,fire,
256,combusken,256.png,9,195,fire,fighting
257,blaziken,257.png,19,520,fire,fighting
258,mudkip,258.png,4,76,water,
259,marshtomp,259.png,7,280,water,ground
260,swampert,260.png,15,819,water,ground
261,poochyena,261.png,5,136,dark,
262,mightyena,262.png,10,370,dark,
263,zigzagoon,263.png,4,175,normal,
264,linoone,264.png,5,325,normal,
265,wurmple,265.png,3,36,bug,
266,silcoon,266.png,6,100,bug,
267,beautifly,267.png,10,284,bug,flying
268,cascoon,268.png,7,115,bug,
269,dustox,269.png,12,316,bug,poison
270,lotad,270.png,5,26,water,grass
271,lombre,271.png,12,325,water,grass
272,ludicolo,272.png,15,550,water,grass
273,seedot,273.png,5,40,grass,
274,nuzleaf,274.png,10,280,grass,dark
275,shiftry,275.png,13,596,grass,dark
276,taillow,276.png,3,23,normal,flying
277,swellow,277.png,7,198,normal,flying
278,wingull,278.png,6,95,water,flying
279,pelipper,279.png,12,280,water,flying
280,ralts,280.png,4,66,psychic,fairy
281,kirlia,281.png,8,202,psychic,fairy
282,gardevoir,282.png,16,484,psychic,fairy
283,surskit,283.png,5,17,bug,water
284,masquerain,284.png,8,36,bug,flying
285,shroomish,285.png,4,45,grass,
286,breloom,286.png,12,392,grass,fighting
287,slakoth,287.png,8,240,normal,
288,vigoroth,288.png,14,465,normal,
289,slaking,289.png,20,1305,normal,
290,nincada,290.png,5,55,bug,ground
291,ninjask,291.png,8,120,bug,flying
292,shedinja,292.png,8,12,bug,ghost
293,whismur,293.png,6,163,normal,
294,loudred,294.png,10,405,normal,
295,exploud,295.png,15,840,normal,
296,makuhita,296.png,10,864,fighting,
297,hariyama,297.png,23,2538,fighting,
298,azurill,298.png,2,20,normal,fairy
299,nosepass,299.png,10,970,rock,
300,skitty,300.png,6,110,normal,
301,delcatty,301.png,11,326,normal,
302,sableye,302.png,5,110,dark,ghost
303,mawile,303.png,6,115,steel,fairy
304,aron,304.png,4,600,steel,rock
305,lairon,305.png,9,1200,steel,rock
306,aggron,306.png,21,3600,steel,rock
307,meditite,307.png,6,112,fighting,psychic
308,medicham,308.png,13,315,fighting,psychic
309,electrike,309.png,6,152,electric,
310,manectric,310.png,15,402,electric,
311,plusle,311.png,4,42,electric,
312,minun,312.png,4,42,electric,
313,volbeat,313.png,7,177,bug,
314,illumise,314.png,6,177,bug,
315,roselia,315.png,3,20,grass,poison
316,gulpin,316.png,4,103,poison,
317,swalot,317.png,17,800,poison,
318,carvanha,318.png,8,208,water,dark
319,sharpedo,319.png,18,888,water,dark
320,wailmer,320.png,20,1300,water,
321,wailord,321.png,145,3980,water,
322,numel,322.png,7,240,fire,ground
323,camerupt,323.png,19,2200,fire,ground
324,torkoal,324.png,5,804,fire,
325,spoink,325.png,7,306,psychic,
326,grumpig,326.png,9,715,psychic,
327,spinda,327.png,11,50,normal,
328,trapinch,328.png,7,150,ground,
329,vibrava,329.png,11,153,ground,dragon
330,flygon,330.png,20,820,ground,dragon
331,cacnea,331.png,4,513,grass,
332,cacturne,332.png,13,774,grass,dark
333,swablu,333.png,4,12,normal,flying
334,altaria,334.png,11,206,dragon,flying
335,zangoose,335.png,13,403,normal,
336,seviper,336.png,27,525,poison,
337,lunatone,337.png,10,1680,rock,psychic
338,solrock,338.png,12,1540,rock,psychic
339,barboach,339.png,4,19,water,ground
340,whiscash,340.png,9,236,water,ground
341,corphish,341.png,6,115,water,
342,crawdaunt,342.png,11,328,water,dark
343,baltoy,343.png,5,215,ground,psychic
344,claydol,344.png,15,1080,ground,psychic
345,lileep,345.png,10,238,rock,grass
346,cradily,346.png,15,604,rock,grass
347,anorith,347.png,7,125,rock,bug
348,armaldo,348.png,15,682,rock,bug
349,feebas,349.png,6,74,water,
350,milotic,350.png,62,1620,water,
351,castform,351.png,3,8,normal,
352,kecleon,352.png,10,220,normal,
353,shuppet,353.png,6,23,ghost,
354,banette,354.png,11,125,ghost,
355,duskull,355.png,8,150,ghost,
356,dusclops,356.png,16,306,ghost,
357,tropius,357.png,20,1000,grass,flying
358,chimecho,358.png,6,10,psychic,
359,absol,359.png,12,470,dark,
360,wynaut,360.png,6,140,psychic,
361,snorunt,361.png,7,168,ice,
362,glalie,362.png,15,2565,ice,
363,spheal,363.png,8,395,ice,water
364,sealeo,364.png,11,876,ice,water
365,walrein,365.png,14,1506,ice,water
366,clamperl,366.png,4,525,water,
367,huntail,367.png,17,270,water,
368,gorebyss,368.png,18,226,water,
369,relicanth,369.png,10,234,water,rock
370,luvdisc,370.png,6,87,water,
371,bagon,371.png,6,421,dragon,
372,shelgon,372.png,11,1105,dragon,
373,salamence,373.png,15,1026,dragon,flying
374,beldum,374.png,6,952,steel,psychic
375,metang,375.png,12,2025,steel,psychic
376,metagross,376.png,16,5500,steel,psychic
377,regirock,377.png,17,2300,rock,
378,regice,378.png,18,1750,ice,
379,registeel,379.png,19,2050,steel,
380,latias,380.png,14,400,dragon,psychic
381,latios,381.png,20,600,dragon,psychic
382,kyogre,382.png,45,3520,water,
383,groudon,383.png,35,9500,ground,
384,rayquaza,384.png,70,2065,dragon,flying
385,jirachi,385.png,3,11,steel,psychic
386,deoxys-normal,386.png,17,608,psychic,
387,turtwig,387.png,4,102,grass,
388,grotle,388.png,11,970,grass,
389,torterra,389.png,22,3100,grass,ground
390,chimchar,390.png,5,62,fire,
391,monferno,391.png,9,220,fire,fighting
392,infernape,392.png,12,550,fire,fighting
393,piplup,393.png,4,52,water,
394,prinplup,394.png,8,230,water,
395,empoleon,395.png,17,845,water,steel
396,starly,396.png,3,20,normal,flying
397,staravia,397.png,6,155,normal,flying
398,staraptor,398.png,12,249,normal,flying
399,bidoof,399.png,5,200,normal,
400,bibarel,400.png,10,315,normal,water
401,kricketot,401.png,3,22,bug,
402,kricketune,402.png,10,255,bug,
403,shinx,403.png,5,95,electric,
404,luxio,404.png,9,305,electric,
405,luxray,405.png,14,420,electric,
406,budew,406.png,2,12,grass,poison
407,roserade,407.png,9,145,grass,poison
408,cranidos,408.png,9,315,rock,
409,rampardos,409.png,16,1025,rock,
